X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9,Temperature_list,Speed_list
-4.98749,0.635681,9.72,0,-3.06702,3.08716,9.72,0.0001,0.849915,-0.201416,9.72,0.0001,-1.49719,3.95935,9.72,0.0001,3.22815,2.46582,9.72,0.0001,-3.25897,3.58917,9.72,0.0001,2.1048,0.135193,9.72,0.0001,-1.96014,-4.85016,9.72,0.0001,-4.086,-1.35559,9.72,0.0001,-3.52692,-3.34106,9.72,0.0001,0,0.000295275
-4.98749,0.635681,9.72016,0.0002,-3.06702,3.08716,9.72016,0.0002,0.849915,-0.201416,9.72016,0.0002,-1.49719,3.95935,9.72016,0.0002,3.22815,2.46582,9.72016,0.0002,-3.25897,3.58917,9.72016,0.0002,2.1048,0.135193,9.72016,0.0002,-1.96014,-4.85016,9.72016,0.0002,-4.086,-1.35559,9.72016,0.0002,-3.52692,-3.34106,9.72016,0.0002,7310.45,3.05089e-005
-4.98749,0.635691,9.72123,0.0003,-3.0665,3.08559,9.72117,0.0003,0.849731,-0.201469,9.72123,0.0003,-1.49699,3.95921,9.72123,0.0003,3.22814,2.46586,9.72123,0.0003,-3.25964,3.59063,9.72117,0.0003,2.10495,0.135222,9.72123,0.0003,-1.96014,-4.84994,9.72123,0.0003,-4.086,-1.35558,9.72123,0.0003,-3.52694,-3.34106,9.72123,0.0003,189352,0.000125344
-4.98747,0.635757,9.72318,0.0004,-3.06297,3.07476,9.72265,0.0004,0.848464,-0.201838,9.72315,0.0004,-1.49555,3.95827,9.72312,0.0004,3.22806,2.4661,9.72318,0.0004,-3.26428,3.6007,9.72265,0.0004,2.10604,0.135421,9.72314,0.0004,-1.96012,-4.84844,9.72313,0.0004,-4.08597,-1.35553,9.72318,0.0004,-3.52707,-3.34106,9.72317,0.0004,670356,8.82609e-005
-4.98744,0.635878,9.72593,0.0005,-3.05664,3.05535,9.72458,0.0005,0.846166,-0.202508,9.72585,0.0005,-1.49296,3.95656,9.72579,0.0005,3.22792,2.46654,9.72594,0.0005,-3.2726,3.61875,9.72457,0.0005,2.10802,0.135782,9.72585,0.0005,-1.96009,-4.84572,9.72581,0.0005,-4.08593,-1.35542,9.72593,0.0005,-3.52731,-3.34106,9.72592,0.0005,1.33157e+006,0.000404623
-4.9874,0.63605,9.72943,0.0006,-3.04797,3.02858,9.72696,0.0006,0.842891,-0.203462,9.72929,0.0006,-1.48926,3.95413,9.72916,0.0006,3.22772,2.46717,9.72945,0.0006,-3.28412,3.64356,9.72694,0.0006,2.11083,0.136295,9.72927,0.0006,-1.96003,-4.84184,9.7292,0.0006,-4.08587,-1.35527,9.72942,0.0006,-3.52766,-3.34106,9.72941,0.0006,2.02831e+006,0.00028243
-4.98734,0.636272,9.7336,0.0007,-3.03749,2.99601,9.72979,0.0007,0.838694,-0.204684,9.73338,0.0007,-1.48452,3.95101,9.73318,0.0007,3.22746,2.46798,9.73364,0.0007,-3.29824,3.67363,9.72976,0.0007,2.11443,0.136951,9.73335,0.0007,-1.95996,-4.83688,9.73324,0.0007,-4.08579,-1.35508,9.73359,0.0007,-3.52811,-3.34105,9.73358,0.0007,2.65151e+006,0.000450809
-4.98728,0.636541,9.73838,0.0008,-3.02577,2.95915,9.73308,0.0008,0.833634,-0.206159,9.73805,0.0008,-1.47881,3.94724,9.73777,0.0008,3.22715,2.46896,9.73843,0.0008,-3.31436,3.70748,9.73304,0.0008,2.11877,0.137738,9.73802,0.0008,-1.95985,-4.83091,9.73786,0.0008,-4.0857,-1.35485,9.73836,0.0008,-3.52866,-3.34104,9.73834,0.0008,3.14792e+006,3.5926e-005
-4.98721,0.636854,9.74367,0.0009,-3.01325,2.91932,9.73683,0.0009,0.827767,-0.207868,9.74323,0.0009,-1.47221,3.94288,9.74286,0.0009,3.22678,2.4701,9.74374,0.0009,-3.33196,3.7438,9.73678,0.0009,2.1238,0.138645,9.74319,0.0009,-1.9597,-4.82399,9.74297,0.0009,-4.08559,-1.35457,9.74365,0.0009,-3.5293,-3.34103,9.74362,0.0009,3.50856e+006,0.000159111
-4.98712,0.63721,9.7494,0.001,-3.00032,2.87759,9.74103,0.001,0.821153,-0.209797,9.74884,0.001,-1.46478,3.93797,9.74837,0.001,3.22637,2.4714,9.74949,0.001,-3.35062,3.78157,9.74095,0.001,2.12946,0.13966,9.74878,0.001,-1.95951,-4.81621,9.74851,0.001,-4.08546,-1.35424,9.74937,0.001,-3.53003,-3.34101,9.74934,0.001,3.74655e+006,0.000428744
