X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9
-16.625,2.11894,10.1,0,-10.2234,10.2905,10.1,0.0011,2.83305,-0.671387,10.1,0.0021,-4.99064,13.1978,10.1,0.0031,10.7605,8.2194,10.1,0.0041,-10.8632,11.9639,10.1,0.0051,7.01599,0.450643,10.1,0.0061,-6.53381,-16.1672,10.1,0.0071,-13.62,-4.51864,10.1,0.0081,-11.7564,-11.1369,10.1,0.0091
-16.625,2.11894,10.0996,0.0002,-10.2234,10.2905,10.0996,0.0012,2.83305,-0.671387,10.0996,0.0022,-4.99064,13.1978,10.0996,0.0032,10.7605,8.2194,10.0996,0.0042,-10.8632,11.9639,10.0996,0.0052,7.01599,0.450643,10.0996,0.0062,-6.53381,-16.1672,10.0996,0.0072,-13.62,-4.51864,10.0996,0.0082,-11.7564,-11.1369,10.0996,0.0092
-16.625,2.11894,10.0968,0.0003,-10.2234,10.2905,10.0968,0.0013,2.83306,-0.671388,10.0968,0.0023,-4.99064,13.1978,10.0968,0.0033,10.7605,8.21941,10.0968,0.0043,-10.8633,11.964,10.0968,0.0053,7.016,0.450644,10.0968,0.0063,-6.53382,-16.1672,10.0968,0.0073,-13.62,-4.51864,10.0968,0.0083,-11.7564,-11.1369,10.0968,0.0093
-16.625,2.11894,10.0917,0.0004,-10.2234,10.2905,10.0917,0.0014,2.83307,-0.671391,10.0917,0.0024,-4.99065,13.1979,10.0917,0.0034,10.7605,8.21941,10.0917,0.0044,-10.8634,11.9643,10.0918,0.0054,7.01602,0.450647,10.0917,0.0064,-6.53382,-16.1672,10.0917,0.0074,-13.62,-4.51864,10.0917,0.0084,-11.7564,-11.1369,10.0917,0.0094
-16.625,2.11894,10.0845,0.0005,-10.2234,10.2906,10.0845,0.0015,2.83308,-0.671395,10.0845,0.0025,-4.99065,13.1979,10.0845,0.0035,10.7605,8.21942,10.0845,0.0045,-10.8637,11.9649,10.0848,0.0055,7.01606,0.450653,10.0845,0.0065,-6.53383,-16.1672,10.0845,0.0075,-13.62,-4.51865,10.0845,0.0085,-11.7564,-11.1369,10.0845,0.0095
-16.625,2.11894,10.0752,0.0006,-10.2234,10.2906,10.0752,0.0016,2.83311,-0.6714,10.0752,0.0026,-4.99066,13.1979,10.0752,0.0036,10.7605,8.21944,10.0752,0.0046,-10.864,11.9658,10.0757,0.0056,7.0161,0.450661,10.0752,0.0066,-6.53384,-16.1672,10.0752,0.0076,-13.62,-4.51866,10.0752,0.0086,-11.7564,-11.1369,10.0752,0.0096
-16.625,2.11895,10.0639,0.0007,-10.2234,10.2906,10.0639,0.0017,2.83313,-0.671406,10.0639,0.0027,-4.99066,13.1979,10.0639,0.0037,10.7606,8.21945,10.0639,0.0047,-10.8645,11.967,10.0647,0.0057,7.01616,0.450672,10.0639,0.0067,-6.53385,-16.1673,10.0639,0.0077,-13.6201,-4.51867,10.0639,0.0087,-11.7565,-11.1369,10.0639,0.0097
-16.6251,2.11895,10.0507,0.0008,-10.2235,10.2906,10.0507,0.0018,2.83316,-0.671413,10.0507,0.0028,-4.99067,13.198,10.0507,0.0038,10.7606,8.21947,10.0507,0.0048,-10.865,11.9684,10.0519,0.0058,7.01624,0.450684,10.0507,0.0068,-6.53386,-16.1673,10.0507,0.0078,-13.6201,-4.51868,10.0507,0.0088,-11.7565,-11.137,10.0507,0.0098
-16.6251,2.11896,10.0357,0.0009,-10.2235,10.2906,10.0357,0.0019,2.8332,-0.671421,10.0357,0.0029,-4.99067,13.198,10.0357,0.0039,10.7606,8.21949,10.0357,0.0049,-10.8657,11.9701,10.0373,0.0059,7.01632,0.450699,10.0358,0.0069,-6.53387,-16.1673,10.0357,0.0079,-13.6201,-4.51869,10.0357,0.0089,-11.7565,-11.137,10.0357,0.0099
-16.6251,2.11896,10.0191,0.001,-10.2235,10.2907,10.0191,0.002,2.83323,-0.671431,10.0191,0.003,-4.99068,13.198,10.0191,0.004,10.7606,8.21952,10.0191,0.005,-10.8664,11.9719,10.0211,0.006,7.01641,0.450715,10.0191,0.007,-6.53388,-16.1674,10.0191,0.008,-13.6202,-4.5187,10.0191,0.009,-11.7565,-11.137,10.0191,0.01
-16.6252,2.11897,10.0007,0.0011,-10.2236,10.2907,10.0007,0.0021,2.83328,-0.67144,10.0007,0.0031,-4.99069,13.1981,10.0007,0.0041,10.7607,8.21954,10.0007,0.0051,-10.8672,11.9741,10.0032,0.0061,7.01651,0.450734,10.0008,0.0071,-6.5339,-16.1674,10.0007,0.0081,-13.6202,-4.51872,10.0007,0.0091,-11.7566,-11.137,10.0007,0.0101
-16.6252,2.11897,9.98086,0.0012,-10.2236,10.2907,9.98086,0.0022,2.83332,-0.671451,9.98086,0.0032,-4.9907,13.1981,9.98086,0.0042,10.7607,8.21957,9.98086,0.0052,-10.8682,11.9764,9.98387,0.0062,7.01662,0.450754,9.98089,0.0072,-6.53392,-16.1675,9.98086,0.0082,-13.6203,-4.51873,9.98086,0.0092,-11.7566,-11.1371,9.98086,0.0102
-16.6253,2.11898,9.95956,0.0013,-10.2236,10.2908,9.95956,0.0023,2.83337,-0.671463,9.95956,0.0033,-4.99071,13.1982,9.95957,0.0043,10.7608,8.2196,9.95956,0.0053,-10.8691,11.9789,9.9631,0.0063,7.01675,0.450776,9.9596,0.0073,-6.53394,-16.1675,9.95956,0.0083,-13.6203,-4.51875,9.95956,0.0093,-11.7566,-11.1371,9.95956,0.0103
-16.6253,2.11899,9.93712,0.0014,-10.2237,10.2908,9.93712,0.0024,2.83342,-0.671475,9.93712,0.0034,-4.99072,13.1982,9.93713,0.0044,10.7608,8.21963,9.93712,0.0054,-10.8702,11.9816,9.94116,0.0064,7.01688,0.4508,9.93717,0.0074,-6.53396,-16.1676,9.93712,0.0084,-13.6204,-4.51877,9.93712,0.0094,-11.7567,-11.1372,9.93712,0.0104
-16.6254,2.11899,9.91381,0.0015,-10.2237,10.2908,9.91381,0.0025,2.83348,-0.671488,9.91381,0.0035,-4.99073,13.1983,9.91381,0.0045,10.7608,8.21967,9.91381,0.0055,-10.8714,11.9845,9.91833,0.0065,7.01701,0.450825,9.91386,0.0075,-6.53398,-16.1676,9.91381,0.0085,-13.6204,-4.51879,9.91381,0.0095,-11.7567,-11.1372,9.91381,0.0105
-16.6255,2.119,9.8899,0.0016,-10.2237,10.2909,9.8899,0.0026,2.83353,-0.671502,9.8899,0.0036,-4.99074,13.1983,9.88991,0.0046,10.7609,8.2197,9.8899,0.0056,-10.8726,11.9876,9.89487,0.0066,7.01716,0.450852,9.88996,0.0076,-6.534,-16.1677,9.8899,0.0086,-13.6205,-4.51881,9.8899,0.0096,-11.7568,-11.1372,9.8899,0.0106
-16.6255,2.11901,9.86566,0.0017,-10.2238,10.2909,9.86566,0.0027,2.8336,-0.671516,9.86566,0.0037,-4.99075,13.1984,9.86567,0.0047,10.7609,8.21974,9.86566,0.0057,-10.8739,11.9909,9.87103,0.0067,7.01732,0.45088,9.86573,0.0077,-6.53402,-16.1677,9.86566,0.0087,-13.6205,-4.51883,9.86566,0.0097,-11.7568,-11.1373,9.86567,0.0107
-16.6256,2.11902,9.84136,0.0018,-10.2238,10.291,9.84136,0.0028,2.83366,-0.671531,9.84136,0.0038,-4.99076,13.1985,9.84137,0.0048,10.761,8.21978,9.84136,0.0058,-10.8752,11.9943,9.84707,0.0068,7.01748,0.45091,9.84143,0.0078,-6.53405,-16.1678,9.84136,0.0088,-13.6206,-4.51885,9.84136,0.0098,-11.7569,-11.1373,9.84136,0.0108
-16.6256,2.11902,9.81724,0.0019,-10.2239,10.291,9.81724,0.0029,2.83372,-0.671547,9.81724,0.0039,-4.99077,13.1985,9.81725,0.0049,10.7611,8.21982,9.81724,0.0059,-10.8766,11.9978,9.82323,0.0069,7.01765,0.450941,9.81731,0.0079,-6.53407,-16.1678,9.81724,0.0089,-13.6206,-4.51887,9.81724,0.0099,-11.7569,-11.1374,9.81725,0.0109
-16.6257,2.11903,9.79355,0.002,-10.2239,10.2911,9.79355,0.003,2.83379,-0.671563,9.79355,0.004,-4.99078,13.1986,9.79356,0.005,10.7611,8.21987,9.79355,0.006,-10.878,12.0015,9.79975,0.007,7.01782,0.450973,9.79362,0.008,-6.5341,-16.1679,9.79355,0.009,-13.6207,-4.5189,9.79355,0.01,-11.757,-11.1374,9.79355,0.011
-16.6258,2.11904,9.77051,0.0021,-10.224,10.2911,9.77051,0.0031,2.83386,-0.67158,9.77051,0.0041,-4.9908,13.1987,9.77052,0.0051,10.7612,8.21991,9.77051,0.0061,-10.8795,12.0053,9.77685,0.0071,7.018,0.451006,9.77058,0.0081,-6.53413,-16.168,9.77051,0.0091,-13.6208,-4.51892,9.77051,0.0101,-11.757,-11.1375,9.77051,0.0111
