X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4,X_5,Y_5,Z_5,Time_list_5,X_6,Y_6,Z_6,Time_list_6,X_7,Y_7,Z_7,Time_list_7,X_8,Y_8,Z_8,Time_list_8,X_9,Y_9,Z_9,Time_list_9,Temperature_list,Speed_list
-4.98749,0.635681,9.72,0,-3.06702,3.08716,9.72,0.0001,0.849915,-0.201416,9.72,0.0001,-1.49719,3.95935,9.72,0.0001,3.22815,2.46582,9.72,0.0001,-3.25897,3.58917,9.72,0.0001,2.1048,0.135193,9.72,0.0001,-1.96014,-4.85016,9.72,0.0001,-4.086,-1.35559,9.72,0.0001,-3.52692,-3.34106,9.72,0.0001,0,3.02185e-005
-4.98749,0.635681,9.72016,0.0002,-3.06702,3.08716,9.72016,0.0002,0.849915,-0.201416,9.72016,0.0002,-1.49719,3.95935,9.72016,0.0002,3.22815,2.46582,9.72016,0.0002,-3.25897,3.58917,9.72016,0.0002,2.1048,0.135193,9.72016,0.0002,-1.96014,-4.85016,9.72016,0.0002,-4.086,-1.35559,9.72016,0.0002,-3.52692,-3.34106,9.72016,0.0002,7310.41,3.44818e-005
-4.98749,0.635692,9.72123,0.0003,-3.06647,3.08549,9.72123,0.0003,0.849713,-0.201475,9.72123,0.0003,-1.49696,3.9592,9.72123,0.0003,3.22814,2.46586,9.72123,0.0003,-3.25969,3.59072,9.72123,0.0003,2.10497,0.135224,9.72123,0.0003,-1.96014,-4.84992,9.72123,0.0003,-4.08599,-1.35558,9.72123,0.0003,-3.52694,-3.34106,9.72123,0.0003,214092,5.98886e-006
-4.98747,0.635765,9.72319,0.0004,-3.06274,3.07396,9.72319,0.0004,0.848319,-0.201881,9.72319,0.0004,-1.49538,3.95817,9.72319,0.0004,3.22805,2.46613,9.72319,0.0004,-3.26464,3.60141,9.72319,0.0004,2.10617,0.135442,9.72319,0.0004,-1.96011,-4.84827,9.72319,0.0004,-4.08597,-1.35552,9.72319,0.0004,-3.52709,-3.34106,9.72319,0.0004,760308,5.58228e-006
-4.98743,0.635899,9.72596,0.0005,-3.05605,3.0533,9.72596,0.0005,0.84579,-0.202618,9.72596,0.0005,-1.49252,3.95629,9.72596,0.0005,3.22789,2.46662,9.72596,0.0005,-3.27354,3.62056,9.72596,0.0005,2.10834,0.135837,9.72596,0.0005,-1.96007,-4.84527,9.72596,0.0005,-4.08592,-1.3554,9.72596,0.0005,-3.52736,-3.34106,9.72596,0.0005,1.50833e+006,7.73664e-006
-4.98739,0.636089,9.72948,0.0006,-3.0469,3.02485,9.72948,0.0006,0.842186,-0.203668,9.72948,0.0006,-1.48843,3.95362,9.72948,0.0006,3.22767,2.46732,9.72948,0.0006,-3.28584,3.64684,9.72948,0.0006,2.11143,0.136398,9.72948,0.0006,-1.96,-4.841,9.72948,0.0006,-4.08585,-1.35524,9.72948,0.0006,-3.52775,-3.34106,9.72948,0.0006,2.2914e+006,1.52115e-005
-4.98733,0.636334,9.73369,0.0007,-3.03587,2.99028,9.73369,0.0007,0.83757,-0.205014,9.73368,0.0007,-1.4832,3.95019,9.73368,0.0007,3.22738,2.46821,9.73368,0.0007,-3.3009,3.67864,9.73368,0.0007,2.11538,0.137114,9.73368,0.0007,-1.9599,-4.83554,9.73368,0.0007,-4.08577,-1.35502,9.73368,0.0007,-3.52825,-3.34105,9.73369,0.0007,2.98552e+006,7.24056e-006
-4.98726,0.63663,9.7385,0.0008,-3.02355,2.95123,9.7385,0.0008,0.832007,-0.206637,9.73849,0.0008,-1.47691,3.94607,9.73849,0.0008,3.22704,2.4693,9.7385,0.0008,-3.31807,3.71435,9.7385,0.0008,2.12014,0.137973,9.7385,0.0008,-1.95976,-4.82897,9.7385,0.0008,-4.08566,-1.35476,9.7385,0.0008,-3.52885,-3.34104,9.7385,0.0008,3.53363e+006,5.49577e-006
-4.98717,0.636976,9.74383,0.0009,-3.01044,2.90911,9.74383,0.0009,0.825562,-0.208517,9.74383,0.0009,-1.46963,3.94129,9.74383,0.0009,3.22663,2.47057,9.74383,0.0009,-3.3368,3.75259,9.74383,0.0009,2.12566,0.138962,9.74383,0.0009,-1.95957,-4.82137,9.74383,0.0009,-4.08554,-1.35444,9.74383,0.0009,-3.52956,-3.34102,9.74383,0.0009,3.92744e+006,1.62333e-005
-4.98708,0.637369,9.74961,0.001,-2.99692,2.86504,9.74961,0.001,0.818301,-0.210636,9.74961,0.001,-1.46145,3.9359,9.74961,0.001,3.22617,2.47202,9.74961,0.001,-3.35664,3.79227,9.74961,0.001,2.13185,0.140066,9.74961,0.001,-1.95933,-4.81283,9.74961,0.001,-4.0854,-1.35407,9.74961,0.001,-3.53037,-3.34099,9.74961,0.001,4.18331e+006,2.62566e-005
