X_0,Y_0,Z_0,X_1,Y_1,Z_1,Time_list
,,,,,,
-16.625,2.11894,10.9996,,,,0.0001
-16.6249,2.11893,10.9968,,,,0.0002
-16.6249,2.11893,10.9917,,,,0.0003
-16.6249,2.11893,10.9845,,,,0.0004
-16.6248,2.11892,10.9752,,,,0.0005
-16.6247,2.11891,10.9639,,,,0.0006
-16.6247,2.1189,10.9507,,,,0.0007
-16.6246,2.11889,10.9357,,,,0.0008
-16.6245,2.11888,10.9191,,,,0.0009
-16.6244,2.11886,10.9007,,,,0.001
-16.6243,2.11885,10.8809,,,,0.0011
-16.6241,2.11883,10.8595,,,,0.0012
-16.624,2.11882,10.8367,,,,0.0013
-16.6239,2.1188,10.8126,,,,0.0014
-16.6237,2.11878,10.7872,,,,0.0015
-16.6236,2.11876,10.7605,,,,0.0016
-16.6234,2.11874,10.7327,,,,0.0017
-16.6232,2.11872,10.7038,,,,0.0018
-16.6231,2.1187,10.6737,,,,0.0019
-16.6229,2.11867,10.6427,,,,0.002
-16.6227,2.11865,10.6107,,,,0.0021
-16.6225,2.11862,10.5778,,,,0.0022
-16.6223,2.1186,10.544,,,,0.0023
-16.6221,2.11857,10.5094,,,,0.0024
-16.6219,2.11855,10.4739,,,,0.0025
-16.6217,2.11852,10.4377,,,,0.0026
-16.6215,2.11849,10.4008,,,,0.0027
-16.6213,2.11846,10.3632,,,,0.0028
-16.621,2.11844,10.3249,,,,0.0029
-16.6208,2.11841,10.2859,,,,0.003
-16.6206,2.11838,10.2464,,,,0.0031
-16.6203,2.11835,10.2063,,,,0.0032
-16.6201,2.11832,10.1657,,,,0.0033
-16.6199,2.11829,10.1245,,,,0.0034
-16.6196,2.11826,10.0828,,,,0.0035
-16.6194,2.11823,10.0407,,,,0.0036
-16.6191,2.11819,9.99806,-0.671387,-4.99064,10.9996,0.0037
-16.6189,2.11816,9.95503,-0.671387,-4.99064,10.9968,0.0038
-16.6186,2.11813,9.91179,-0.671387,-4.99064,10.9917,0.0039
-16.6184,2.1181,9.86886,-0.671386,-4.99064,10.9845,0.004
-16.6181,2.11806,9.82674,-0.671386,-4.99064,10.9752,0.0041
-16.6178,2.11803,9.78589,-0.671386,-4.99064,10.9639,0.0042
-16.6176,2.118,9.74677,-0.671386,-4.99063,10.9507,0.0043
-16.6173,2.11796,9.70976,-0.671386,-4.99063,10.9357,0.0044
