X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2
-16.625,2.11894,9.5,0,-10.2234,10.2905,9.5,0.0001,2.83305,-0.671387,9.5,0.0001
-16.625,2.11894,9.50046,0.0002,-10.2234,10.2905,9.50046,0.0002,2.83305,-0.671387,9.50046,0.0002
-16.625,2.11894,9.50362,0.0003,-10.2234,10.2905,9.50362,0.0003,2.83306,-0.671388,9.50362,0.0003
-16.625,2.11894,9.50934,0.0004,-10.2234,10.2905,9.50934,0.0004,2.83307,-0.671391,9.50934,0.0004
-16.625,2.11894,9.51747,0.0005,-10.2234,10.2906,9.51747,0.0005,2.83308,-0.671395,9.51747,0.0005
-16.625,2.11894,9.52783,0.0006,-10.2234,10.2906,9.52783,0.0006,2.83311,-0.6714,9.52783,0.0006
-16.625,2.11895,9.54022,0.0007,-10.2234,10.2906,9.54022,0.0007,2.83313,-0.671406,9.54022,0.0007
-16.6251,2.11895,9.55443,0.0008,-10.2235,10.2906,9.55443,0.0008,2.83316,-0.671413,9.55443,0.0008
-16.6251,2.11896,9.57024,0.0009,-10.2235,10.2906,9.57024,0.0009,2.8332,-0.671421,9.57024,0.0009
-16.6251,2.11896,9.58744,0.001,-10.2235,10.2907,9.58744,0.001,2.83323,-0.671431,9.58744,0.001
-16.6252,2.11897,9.60579,0.0011,-10.2236,10.2907,9.60579,0.0011,2.83328,-0.67144,9.60579,0.0011
-16.6252,2.11897,9.62505,0.0012,-10.2236,10.2907,9.62505,0.0012,2.83332,-0.671451,9.62505,0.0012
-16.6253,2.11898,9.64499,0.0013,-10.2236,10.2908,9.64499,0.0013,2.83337,-0.671463,9.64499,0.0013
-16.6253,2.11899,9.66538,0.0014,-10.2237,10.2908,9.66538,0.0014,2.83342,-0.671475,9.66538,0.0014
-16.6254,2.11899,9.686,0.0015,-10.2237,10.2908,9.686,0.0015,2.83348,-0.671488,9.686,0.0015
-16.6255,2.119,9.70662,0.0016,-10.2237,10.2909,9.70662,0.0016,2.83353,-0.671502,9.70662,0.0016
-16.6255,2.11901,9.72703,0.0017,-10.2238,10.2909,9.72703,0.0017,2.8336,-0.671516,9.72703,0.0017
-16.6256,2.11902,9.74704,0.0018,-10.2238,10.291,9.74704,0.0018,2.83366,-0.671531,9.74704,0.0018
-16.6256,2.11902,9.76644,0.0019,-10.2239,10.291,9.76644,0.0019,2.83372,-0.671547,9.76644,0.0019
-16.6257,2.11903,9.78507,0.002,-10.2239,10.2911,9.78507,0.002,2.83379,-0.671563,9.78507,0.002
-16.6258,2.11904,9.80276,0.0021,-10.224,10.2911,9.80276,0.0021,2.83386,-0.67158,9.80276,0.0021
-16.6259,2.11905,9.81938,0.0022,-10.224,10.2912,9.81938,0.0022,2.83394,-0.671597,9.81938,0.0022
-16.6259,2.11906,9.83478,0.0023,-10.2241,10.2912,9.83478,0.0023,2.83401,-0.671615,9.83478,0.0023
-16.626,2.11907,9.84888,0.0024,-10.2241,10.2913,9.84888,0.0024,2.83409,-0.671633,9.84888,0.0024
-16.6261,2.11908,9.86156,0.0025,-10.2242,10.2913,9.86156,0.0025,2.83417,-0.671652,9.86156,0.0025
-16.6262,2.11909,9.87275,0.0026,-10.2243,10.2914,9.87275,0.0026,2.83425,-0.671671,9.87275,0.0026
-16.6263,2.1191,9.88241,0.0027,-10.2243,10.2915,9.88241,0.0027,2.83433,-0.671691,9.88241,0.0027
-16.6264,2.11911,9.89049,0.0028,-10.2244,10.2915,9.89049,0.0028,2.83442,-0.671711,9.89049,0.0028
-16.6264,2.11912,9.89697,0.0029,-10.2244,10.2916,9.89697,0.0029,2.8345,-0.671731,9.89697,0.0029
-16.6265,2.11914,9.90185,0.003,-10.2245,10.2917,9.90185,0.003,2.83459,-0.671752,9.90185,0.003
-16.6266,2.11915,9.90514,0.0031,-10.2246,10.2917,9.90514,0.0031,2.83468,-0.671773,9.90514,0.0031
-16.6267,2.11916,9.90687,0.0032,-10.2246,10.2918,9.90687,0.0032,2.83477,-0.671794,9.90687,0.0032
-16.6268,2.11917,9.90708,0.0033,-10.2247,10.2919,9.90708,0.0033,2.83486,-0.671816,9.90708,0.0033
-16.6269,2.11918,9.90584,0.0034,-10.2248,10.2919,9.90584,0.0034,2.83495,-0.671838,9.90584,0.0034
-16.627,2.11919,9.90321,0.0035,-10.2248,10.292,9.90321,0.0035,2.83505,-0.67186,9.90321,0.0035
-16.6271,2.11921,9.89927,0.0036,-10.2249,10.2921,9.89927,0.0036,2.83514,-0.671883,9.89927,0.0036
-16.6272,2.11922,9.89412,0.0037,-10.225,10.2921,9.89412,0.0037,2.83524,-0.671906,9.89412,0.0037
-16.6273,2.11923,9.88785,0.0038,-10.225,10.2922,9.88785,0.0038,2.83534,-0.671929,9.88785,0.0038
-16.6274,2.11924,9.88059,0.0039,-10.2251,10.2923,9.88059,0.0039,2.83543,-0.671952,9.88059,0.0039
-16.6275,2.11926,9.87243,0.004,-10.2252,10.2923,9.87243,0.004,2.83553,-0.671975,9.87243,0.004
-16.6276,2.11927,9.8635,0.0041,-10.2253,10.2924,9.8635,0.0041,2.83563,-0.671999,9.8635,0.0041
-16.6277,2.11928,9.85392,0.0042,-10.2253,10.2925,9.85392,0.0042,2.83573,-0.672023,9.85392,0.0042
-16.6278,2.1193,9.84381,0.0043,-10.2254,10.2926,9.84381,0.0043,2.83584,-0.672047,9.84381,0.0043
-16.6279,2.11931,9.83331,0.0044,-10.2255,10.2926,9.83331,0.0044,2.83594,-0.672071,9.83331,0.0044
-16.628,2.11932,9.82252,0.0045,-10.2256,10.2927,9.82252,0.0045,2.83604,-0.672096,9.82252,0.0045
-16.6281,2.11934,9.81158,0.0046,-10.2256,10.2928,9.81158,0.0046,2.83615,-0.672121,9.81158,0.0046
-16.6282,2.11935,9.8006,0.0047,-10.2257,10.2929,9.8006,0.0047,2.83625,-0.672145,9.8006,0.0047
-16.6283,2.11936,9.7897,0.0048,-10.2258,10.2929,9.7897,0.0048,2.83636,-0.67217,9.7897,0.0048
-16.6284,2.11938,9.77899,0.0049,-10.2259,10.293,9.77899,0.0049,2.83646,-0.672195,9.77899,0.0049
-16.6285,2.11939,9.76856,0.005,-10.2259,10.2931,9.76856,0.005,2.83657,-0.672221,9.76856,0.005
-16.6287,2.1194,9.75852,0.0051,-10.226,10.2932,9.75852,0.0051,2.83667,-0.672246,9.75852,0.0051
-16.6288,2.11942,9.74894,0.0052,-10.2261,10.2933,9.74894,0.0052,2.83678,-0.672272,9.74894,0.0052
-16.6289,2.11943,9.73992,0.0053,-10.2262,10.2933,9.73992,0.0053,2.83689,-0.672297,9.73992,0.0053
-16.629,2.11945,9.73152,0.0054,-10.2262,10.2934,9.73152,0.0054,2.837,-0.672323,9.73152,0.0054
-16.6291,2.11946,9.72381,0.0055,-10.2263,10.2935,9.72381,0.0055,2.83711,-0.672349,9.72381,0.0055
-16.6292,2.11947,9.71682,0.0056,-10.2264,10.2936,9.71682,0.0056,2.83722,-0.672375,9.71682,0.0056
-16.6293,2.11949,9.71062,0.0057,-10.2265,10.2937,9.71062,0.0057,2.83733,-0.672401,9.71062,0.0057
