X_0,Y_0,Z_0,Time_list_0,X_1,Y_1,Z_1,Time_list_1,X_2,Y_2,Z_2,Time_list_2,X_3,Y_3,Z_3,Time_list_3,X_4,Y_4,Z_4,Time_list_4
-16.625,2.11894,11,0,-0.671387,-4.99064,11,0.0037,-10.8632,11.9639,11,0.0073,-16.1672,-13.62,11,0.0109,16.2832,-1.81071,11,0.0145
-16.625,2.11894,10.9996,0.0002,-0.671387,-4.99064,10.9996,0.0038,-10.8632,11.9639,10.9996,0.0074,-16.1672,-13.62,10.9996,0.011,16.2832,-1.81071,10.9996,0.0146
-16.6249,2.11893,10.9968,0.0003,-0.671387,-4.99064,10.9968,0.0039,-10.8632,11.9639,10.9968,0.0075,-16.1672,-13.62,10.9968,0.0111,16.2831,-1.81071,10.9968,0.0147
-16.6249,2.11893,10.9917,0.0004,-0.671387,-4.99064,10.9917,0.004,-10.8632,11.9639,10.9917,0.0076,-16.1671,-13.62,10.9917,0.0112,16.2831,-1.8107,10.9917,0.0148
-16.6249,2.11893,10.9845,0.0005,-0.671386,-4.99064,10.9845,0.0041,-10.8632,11.9638,10.9845,0.0077,-16.1671,-13.6199,10.9845,0.0113,16.2831,-1.8107,10.9845,0.0149
-16.6248,2.11892,10.9752,0.0006,-0.671386,-4.99064,10.9752,0.0042,-10.8631,11.9638,10.9752,0.0078,-16.167,-13.6199,10.9752,0.0114,16.283,-1.81069,10.9752,0.015
-16.6247,2.11891,10.9639,0.0007,-0.671386,-4.99064,10.9639,0.0043,-10.8631,11.9638,10.9639,0.0079,-16.167,-13.6198,10.9639,0.0115,16.283,-1.81069,10.9639,0.0151
-16.6247,2.1189,10.9507,0.0008,-0.671386,-4.99063,10.9507,0.0044,-10.8631,11.9637,10.9507,0.008,-16.1669,-13.6197,10.9507,0.0116,16.2829,-1.81068,10.9507,0.0152
-16.6246,2.11889,10.9357,0.0009,-0.671386,-4.99063,10.9357,0.0045,-10.863,11.9636,10.9357,0.0081,-16.1668,-13.6197,10.9357,0.0117,16.2828,-1.81067,10.9357,0.0153
-16.6245,2.11888,10.9191,0.001,-0.671385,-4.99063,10.9191,0.0046,-10.8629,11.9636,10.9191,0.0082,-16.1667,-13.6196,10.9191,0.0118,16.2827,-1.81066,10.9191,0.0154
-16.6244,2.11886,10.9007,0.0011,-0.671385,-4.99063,10.9007,0.0047,-10.8629,11.9635,10.9007,0.0083,-16.1666,-13.6195,10.9007,0.0119,16.2826,-1.81065,10.9007,0.0155
-16.6243,2.11885,10.8809,0.0012,-0.671385,-4.99063,10.8809,0.0048,-10.8628,11.9634,10.8809,0.0084,-16.1665,-13.6194,10.8809,0.012,16.2825,-1.81063,10.8809,0.0156
