X,Y,Z,V_X,V_Y,V_Z
-5.21492e-006,-1.75351e-005,0.000377759,0.000133519,0.000447534,0.000313984
-9.03855e-006,7.34923e-005,0.00039183,0.000110674,-0.000367464,9.37478e-005
6.94587e-005,7.95372e-006,0.000393775,-0.000234202,5.1443e-005,4.19576e-005
-4.61904e-005,-5.7519e-005,0.000396578,4.00128e-005,5.86195e-005,3.56041e-006
-7.04246e-005,-7.72863e-006,0.000394635,0.000104572,4.03087e-005,1.33296e-005
-5.48045e-005,4.32601e-005,0.000393834,0.000221741,-7.75896e-005,4.05152e-005
6.472e-006,2.17777e-005,0.000404732,4.70963e-006,1.77687e-005,-0.000615792
4.64001e-005,5.78355e-005,0.000391794,-0.00028766,-0.000259357,9.52422e-005
5.57309e-005,-4.35625e-005,0.00039461,-6.85797e-005,9.13583e-005,1.38599e-005
9.0405e-006,-7.31588e-005,0.000396518,-2.96753e-006,7.12349e-005,3.85898e-006
