X,Y,Z,V_X,V_Y,V_Z
0.000100335,2.02927e-005,0.950689,1.02283e-011,6.78607e-012,-0.00655717
-1.39965e-005,7.21254e-005,0.000403904,-0.00130044,0.00137936,-0.000688843
5.12109e-005,2.21327e-005,0.000404179,-0.000342104,0.00044384,0.000819265
-6.43505e-005,-7.92973e-005,0.000404303,0.00123484,3.93921e-005,-0.00153385
-9.97429e-005,-2.86372e-005,0.000404361,0.00225047,-0.00263142,0.00075702
-4.88696e-005,2.18743e-005,0.000403879,-2.14065e-005,0.000871427,-0.000345548
8.61161e-005,7.28348e-005,0.000404172,0.00152058,0.00111657,0.000885628
8.59531e-005,-7.93052e-005,0.000394804,0.00228936,0.00136798,1.30859e-005
5.00109e-005,-2.91518e-005,0.00039485,0.000337206,-0.00179366,-0.000502043
8.80839e-007,-2.92464e-005,0.000403815,-0.00139309,-0.000890137,0.000550126
-6.60704e-005,-7.83789e-005,0.179642,-1.04414e-011,-2.05426e-012,-0.00655717
-4.83753e-005,-2.7837e-005,0.000394937,-0.000859801,-0.00162652,0.000125702
-1.31325e-005,-8.28094e-005,3.86141,1.51424e-011,-7.57892e-012,-0.00655717
3.57845e-005,-7.89284e-005,0.000403851,-0.000908993,-0.000845631,-5.45942e-005
3.54544e-005,7.30118e-005,0.000394917,-0.00317212,0.00145336,-0.000262635
-1.31876e-005,-7.90115e-005,0.000394975,-0.00250547,-0.00281768,0.000387386
-6.42257e-005,7.16554e-005,0.00039486,0.00316906,0.00240185,0.000406576
-9.9235e-005,2.25182e-005,0.000394764,0.00220831,-0.00077915,-0.00045612
5.35108e-005,-2.80044e-005,0.767877,-4.35358e-013,1.8385e-011,-0.00655717
3.90907e-007,2.1585e-005,0.000395081,-0.0025064,0.00231042,-0.000126566
