X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,X_5,Y_5,Z_5,X_6,Y_6,Z_6,X_7,Y_7,Z_7,X_8,Y_8,Z_8,X_9,Y_9,Z_9,Time_list,Temperature_list,Speed_list
-6.23436,0.794601,9.89665,-1.87149,4.94919,10.2114,2.631,0.168991,9.95199,-4.40865,-4.17633,10.2942,-6.13861,-1.52664,10.0658,-4.17213,2.03781,10.0254,3.54118,3.78227,10.0599,5.69839,5.32112,10.0697,4.52766,-3.63007,10.1898,1.39351,-1.34468,9.9331,0,9.39707,nan
-6.2239,0.793252,9.89638,-1.87139,4.94885,10.211,2.62937,0.168967,9.95164,-4.40833,-4.17604,10.2938,-6.13814,-1.52654,10.0654,-4.17192,2.03768,10.025,3.54094,3.78202,10.0595,5.69778,5.32055,10.0692,4.52733,-3.62982,10.1894,1.39275,-1.34417,9.93277,0.0001,3.40786e+006,nan
-6.15376,0.784306,9.89468,-1.87059,4.9467,10.2083,2.61859,0.168944,9.94939,-4.40611,-4.17394,10.2911,-6.13488,-1.52577,10.0627,-4.17037,2.03691,10.0222,3.53943,3.78042,10.0568,5.69378,5.31682,10.0665,4.52514,-3.62809,10.1867,1.38775,-1.34068,9.9307,0.0002,1.16259e+007,nan
-6.03331,0.768959,9.89178,-1.86921,4.943,10.2036,2.60003,0.168924,9.94553,-4.40226,-4.1703,10.2864,-6.12924,-1.52441,10.058,-4.16767,2.0356,10.0176,3.53685,3.77767,10.0521,5.68691,5.3104,10.0618,4.52138,-3.62509,10.182,1.37915,-1.33466,9.92714,0.0003,2.20546e+007,nan
-5.87176,0.74838,9.88785,-1.86733,4.93798,10.1972,2.57493,0.168918,9.94032,-4.39703,-4.16534,10.28,-6.12158,-1.52257,10.0516,-4.164,2.03384,10.0112,3.53334,3.77393,10.0457,5.67757,5.30168,10.0554,4.51628,-3.62102,10.1756,1.3675,-1.3265,9.92233,0.0004,3.26935e+007,nan
-5.67791,0.72369,9.88309,-1.86501,4.93184,10.1894,2.54442,0.168945,9.934,-4.39061,-4.15927,10.2722,-6.11219,-1.52031,10.0438,-4.1595,2.03169,10.0034,3.52905,3.76936,10.0379,5.66615,5.29102,10.0476,4.51003,-3.61602,10.1678,1.35328,-1.31658,9.9165,0.0005,4.21541e+007,nan
-5.45996,0.695925,9.87765,-1.86234,4.92474,10.1804,2.50949,0.169025,9.92677,-4.3832,-4.15225,10.2632,-6.10134,-1.5177,10.0348,-4.15428,2.02921,9.99434,3.52409,3.76408,10.0289,5.65296,5.2787,10.0386,4.50281,-3.61025,10.1588,1.33692,-1.30523,9.90984,0.0006,4.96122e+007,nan
-5.22541,0.665914,9.87171,-1.85936,4.91683,10.1703,2.47104,0.169181,9.91883,-4.37493,-4.14442,10.2531,-6.08925,-1.51479,10.0247,-4.1437,2.0243,9.98428,3.51856,3.75819,10.0188,5.63827,5.26499,10.0285,4.49477,-3.60381,10.1487,1.31879,-1.29273,9.90252,0.0007,5.56287e+007,nan
-4.98133,0.633921,9.86552,-1.85611,4.90824,10.1593,2.42987,0.16944,9.91034,-4.36595,-4.13592,10.2421,-6.07612,-1.51163,10.0137,-4.10551,2.00692,9.97344,3.51256,3.75179,10.0078,5.62233,5.25011,10.0175,4.48603,-3.59681,10.1377,1.29922,-1.27935,9.8947,0.0008,6.03968e+007,nan
-4.7333,0.600502,9.85891,-1.85265,4.89907,10.1476,2.38667,0.169826,9.90147,-4.35636,-4.12684,10.2303,-6.06211,-1.50825,10.002,-4.04395,1.97927,9.96205,3.50615,3.74495,9.99607,5.60534,5.23424,10.0058,4.4767,-3.58934,10.126,1.27848,-1.26533,9.88652,0.0009,6.35725e+007,nan
