X_0,Y_0,Z_0,X_1,Y_1,Z_1,X_2,Y_2,Z_2,X_3,Y_3,Z_3,X_4,Y_4,Z_4,X_5,Y_5,Z_5,X_6,Y_6,Z_6,X_7,Y_7,Z_7,X_8,Y_8,Z_8,X_9,Y_9,Z_9,Time_list,Temperature_list,Speed_list
-4.98749,0.635681,9.89665,-1.49719,3.95935,10.2114,2.1048,0.135193,9.95199,-3.52692,-3.34106,10.2942,-4.91089,-1.22131,10.0658,-3.33771,1.63025,10.0254,2.83295,3.02582,10.0599,4.55872,4.2569,10.0697,3.62213,-2.90405,10.1898,1.11481,-1.07574,9.9331,0,9.39707,3.05333e-006
-4.98748,0.635685,9.89657,-1.49721,3.95933,10.211,2.10495,0.13543,9.95173,-3.52693,-3.34109,10.2938,-4.9109,-1.22136,10.0654,-3.33771,1.63024,10.025,2.83292,3.02581,10.0595,4.55869,4.25688,10.0692,3.62212,-2.90407,10.1894,1.11456,-1.07603,9.93289,0.0001,42828.9,3.74631e-006
-4.98733,0.635809,9.89613,-1.49721,3.95931,10.2083,2.10611,0.137154,9.9501,-3.52694,-3.34112,10.2911,-4.91088,-1.22154,10.0627,-3.33758,1.6303,10.0223,2.83289,3.02584,10.0568,4.55868,4.25688,10.0665,3.62212,-2.90413,10.1867,1.113,-1.07784,9.93163,0.0002,146214,5.59516e-006
-4.98706,0.636035,9.89538,-1.49721,3.9593,10.2036,2.10813,0.140145,9.94731,-3.52693,-3.34115,10.2864,-4.91083,-1.22185,10.058,-3.33736,1.63042,10.0176,2.83284,3.0259,10.0521,4.55868,4.2569,10.0618,3.62213,-2.90421,10.182,1.11033,-1.08096,9.92947,0.0003,282606,1.30158e-005
-4.98669,0.63635,9.89439,-1.49721,3.9593,10.1972,2.11088,0.144203,9.94358,-3.52692,-3.34118,10.28,-4.91075,-1.22226,10.0517,-3.33704,1.63059,10.0112,2.83279,3.02599,10.0457,4.55869,4.25693,10.0554,3.62214,-2.90432,10.1756,1.10672,-1.08518,9.92658,0.0004,433049,6.35098e-006
-4.98623,0.636739,9.8932,-1.4972,3.9593,10.1894,2.11421,0.14915,9.93909,-3.52689,-3.34122,10.2722,-4.91065,-1.22276,10.0439,-3.33665,1.63081,10.0034,2.83272,3.02611,10.0379,4.5587,4.25698,10.0476,3.62217,-2.90446,10.1678,1.10233,-1.09031,9.92312,0.0005,584891,3.87041e-006
-4.9857,0.637191,9.89187,-1.49718,3.9593,10.1804,2.11803,0.154824,9.93404,-3.52686,-3.34125,10.2632,-4.91054,-1.22334,10.0349,-3.3362,1.63106,9.99444,2.83265,3.02624,10.0289,4.55872,4.25703,10.0386,3.6222,-2.90461,10.1588,1.0973,-1.0962,9.91923,0.0006,730075,9.15798e-006
-4.98524,0.637616,9.89115,-1.49716,3.9593,10.1703,2.12223,0.161084,9.92835,-3.52683,-3.34129,10.2531,-4.91041,-1.22398,10.0249,-3.33555,1.63143,9.98441,2.83257,3.02639,10.0188,4.55874,4.25709,10.0285,3.62224,-2.90478,10.1488,1.09175,-1.10269,9.91505,0.0007,881811,1.50325e-006
-4.98548,0.637626,9.89373,-1.49712,3.95933,10.1593,2.12671,0.1678,9.92123,-3.52678,-3.34134,10.2421,-4.91027,-1.22469,10.014,-3.33407,1.63227,9.9737,2.83249,3.02656,10.0079,4.55876,4.25718,10.0175,3.62228,-2.90496,10.1378,1.08579,-1.10966,9.9107,0.0008,993193,3.15957e-006
-4.98634,0.637279,9.89567,-1.49707,3.95938,10.1476,2.13138,0.174865,9.91422,-3.52674,-3.34138,10.2304,-4.91013,-1.22547,10.0023,-3.33187,1.63353,9.96259,2.83239,3.02674,9.99612,4.55877,4.25727,10.0058,3.62232,-2.90516,10.1261,1.07951,-1.117,9.90629,0.0009,1.08792e+006,6.98274e-006
-4.98769,0.636613,9.8973,-1.497,3.95944,10.1352,2.13618,0.182152,9.90833,-3.52669,-3.34143,10.218,-4.90999,-1.22629,9.98997,-3.32905,1.63513,9.95062,2.83227,3.02698,9.98375,4.5588,4.25739,9.99339,3.62237,-2.90536,10.1137,1.073,-1.12461,9.90094,0.001,1.29974e+006,
