X_0,Y_0,Z_0,Time_list,Temperature_list,Speed_list
-2.49374,0.317841,9.89665,0,7.41025,nan
-2.49389,0.317666,9.89308,0.001,35181.6,
-2.49404,0.317491,9.87061,0.002,54664.9,
-2.49419,0.317316,9.85133,0.003,36384,
-2.49433,0.317141,9.8853,0.004,723952,
-2.49448,0.316966,9.97861,0.005,340437,
-2.49463,0.316791,10.0088,0.006,1.73143e+006,
-2.49478,0.316616,9.82529,0.007,1.24612e+007,
-2.49492,0.316441,9.46417,0.008,964746,
-2.49507,0.316266,9.51543,0.009,6.56665e+007,
-2.49522,0.316091,10.5358,0.01,1.99445e+008,
-2.49537,0.315916,12.0313,0.011,1.41413e+008,
-2.49552,0.315741,13.2843,0.012,9.33341e+007,
-2.49567,0.315566,14.2946,0.013,5.52074e+007,
-2.49581,0.315391,15.0623,0.014,2.70336e+007,
-2.49596,0.315216,15.5873,0.015,8.81254e+006,
-2.49611,0.315041,15.8698,0.016,544352,
-2.49626,0.314866,15.9096,0.017,2.22904e+006,
-2.49641,0.314691,15.7067,0.018,1.38666e+007,
-2.49656,0.314516,15.2613,0.019,3.5457e+007,
-2.49671,0.314341,14.5732,0.02,6.70003e+007,
-2.49686,0.314166,13.6425,0.021,1.08496e+008,
-2.497,0.313991,12.4692,0.022,1.59945e+008,
-2.49715,0.313816,11.0533,0.023,2.21347e+008,
-2.4973,0.31364,9.39471,0.024,2.90215e+008,
-2.49745,0.313465,7.72527,0.025,367815,
-2.4976,0.31329,7.34914,0.026,3.16481e+008,
-2.49775,0.313115,4.42402,0.027,6.20995e+009,
-2.4979,0.31294,-7.65682,0.028,1.03421e+011,
-2.49805,0.312765,-53.6827,0.029,1.28426e+012,
-2.4982,0.31259,-216.962,0.03,1.65887e+013,
-2.49835,0.312415,-806.001,0.031,2.25292e+014,
-2.4985,0.31224,-3009.11,0.032,3.65664e+015,
-2.49865,0.312065,-12328,0.033,1.03489e+017,
-2.4988,0.31189,-69427.5,0.034,1.26886e+019,
-2.49895,0.311715,-957363,0.035,4.46097e+022,
-2.4991,0.31154,-1.11462e+008,0.036,2.53751e+029,
-2.49925,0.311365,-1.23339e+012,0.037,6.90895e+042,
-2.4994,0.31119,-1.4458e+020,0.038,5.08016e+069,
-2.49955,0.311015,-1.98275e+036,0.039,2.74663e+123,
-2.4997,0.31084,-3.7289e+068,0.04,8.02874e+230,
-2.49985,0.310665,-1.31889e+133,0.041,inf,
2.5,0.31049,-1.64992e+262,0.042,inf,
2.49985,0.310315,nan,0.043,nan,
2.49969,0.31014,nan,0.044,nan,
2.49954,0.309965,nan,0.045,nan,
2.49939,0.30979,nan,0.046,nan,
2.49924,0.309615,nan,0.047,nan,
2.49909,0.30944,nan,0.048,nan,
2.49894,0.309265,nan,0.049,nan,
2.49879,0.30909,nan,0.05,nan,
2.49864,0.308915,nan,0.051,nan,
2.49848,0.30874,nan,0.052,nan,
2.49833,0.308565,nan,0.053,nan,
2.49818,0.30839,nan,0.054,nan,
2.49803,0.308215,nan,0.055,nan,
2.49788,0.308039,nan,0.056,nan,
2.49773,0.307864,nan,0.057,nan,
2.49757,0.307689,nan,0.058,nan,
2.49742,0.307514,nan,0.059,nan,
2.49727,0.307339,nan,0.06,nan,
2.49712,0.307164,nan,0.061,nan,
2.49696,0.306989,nan,0.062,nan,
2.49681,0.306814,nan,0.063,nan,
2.49666,0.306639,nan,0.064,nan,
2.49651,0.306464,nan,0.065,nan,
2.49635,0.306289,nan,0.066,nan,
2.4962,0.306114,nan,0.067,nan,
2.49605,0.305939,nan,0.068,nan,
2.4959,0.305764,nan,0.069,nan,
2.49574,0.305589,nan,0.07,nan,
2.49559,0.305414,nan,0.071,nan,
2.49544,0.305239,nan,0.072,nan,
2.49528,0.305063,nan,0.073,nan,
2.49513,0.304888,nan,0.074,nan,
2.49498,0.304713,nan,0.075,nan,
2.49482,0.304538,nan,0.076,nan,
2.49467,0.304363,nan,0.077,nan,
2.49451,0.304188,nan,0.078,nan,
2.49436,0.304013,nan,0.079,nan,
2.49421,0.303838,nan,0.08,nan,
2.49405,0.303663,nan,0.081,nan,
2.4939,0.303488,nan,0.082,nan,
2.49374,0.303313,nan,0.083,nan,
2.49359,0.303138,nan,0.084,nan,
2.49344,0.302963,nan,0.085,nan,
2.49328,0.302787,nan,0.086,nan,
2.49313,0.302612,nan,0.087,nan,
2.49297,0.302437,nan,0.088,nan,
2.49282,0.302262,nan,0.089,nan,
2.49266,0.302087,nan,0.09,nan,
2.49251,0.301912,nan,0.091,nan,
2.49235,0.301737,nan,0.092,nan,
2.4922,0.301562,nan,0.093,nan,
2.49204,0.301387,nan,0.094,nan,
2.49189,0.301212,nan,0.095,nan,
2.49173,0.301037,nan,0.096,nan,
2.49158,0.300862,nan,0.097,nan,
2.49142,0.300687,nan,0.098,nan,
2.49127,0.300511,nan,0.099,nan,
2.49111,0.300336,nan,0.1,nan,
2.49096,0.300161,nan,0.101,nan,
2.4908,0.299986,nan,0.102,nan,
2.49064,0.299811,nan,0.103,nan,
2.49049,0.299636,nan,0.104,nan,
2.49033,0.299461,nan,0.105,nan,
2.49018,0.299286,nan,0.106,nan,
2.49002,0.299111,nan,0.107,nan,
2.48986,0.298936,nan,0.108,nan,
2.48971,0.298761,nan,0.109,nan,
2.48955,0.298586,nan,0.11,nan,
2.4894,0.29841,nan,0.111,nan,
2.48924,0.298235,nan,0.112,nan,
2.48908,0.29806,nan,0.113,nan,
2.48893,0.297885,nan,0.114,nan,
2.48877,0.29771,nan,0.115,nan,
2.48861,0.297535,nan,0.116,nan,
2.48846,0.29736,nan,0.117,nan,
2.4883,0.297185,nan,0.118,nan,
2.48814,0.29701,nan,0.119,nan,
2.48798,0.296835,nan,0.12,nan,
2.48783,0.296659,nan,0.121,nan,
2.48767,0.296484,nan,0.122,nan,
2.48751,0.296309,nan,0.123,nan,
2.48735,0.296134,nan,0.124,nan,
2.4872,0.295959,nan,0.125,nan,
2.48704,0.295784,nan,0.126,nan,
2.48688,0.295609,nan,0.127,nan,
